Time,Altitude,Airspeed,Roll,Pitch,Yaw,Rudder,AoS
12.942,8.48,9.98,-0.49,0.04,0.31,-0.0675,0.18
13.002,8.55,9.93,-0.45,0.03,0.41,-0.0675,0.09
13.062,8.59,9.94,-0.43,-0.04,0.51,-0.03375,0.35
13.119,8.57,10.04,-0.44,-0.1,0.59,-0.0675,0.44
13.178,8.56,10.08,-0.43,-0.1,0.69,-0.0675,0
13.241,8.48,10.05,-0.41,-0.09,0.82,-0.0675,0
13.301,8.56,10.02,-0.4,-0.12,0.93,-0.0675,0.09
13.361,8.53,10.05,-0.38,-0.18,1.01,-0.03375,0.18
13.418,8.48,9.97,-0.34,-0.16,1.11,-0.03375,-0.26
13.477,8.49,10.01,-0.32,-0.09,1.21,-0.10125,-0.44
13.538,8.54,9.98,-0.29,-0.03,1.31,-0.10125,-0.79
13.601,8.49,9.98,-0.22,-0.03,1.44,-0.03375,-0.88
13.661,8.46,9.96,-0.2,-0.1,1.54,-0.03375,-1.14
13.721,8.39,9.96,-0.14,-0.1,1.64,-0.03375,-1.32
13.782,8.41,9.93,-0.1,-0.08,1.75,-0.03375,-1.4
13.843,8.45,10.04,-0.11,-0.03,1.85,-0.03375,-1.49
13.902,8.37,10.05,-0.1,-0.07,1.96,0,-1.49
13.962,8.35,10.06,-0.08,-0.14,2.06,-0.03375,-1.23
14.022,8.43,10.15,-0.07,-0.26,2.17,-0.03375,-1.14
14.081,8.43,10.34,-0.11,-0.42,2.28,-0.0675,-0.7
14.144,8.26,10.31,-0.12,-0.47,2.4,-0.03375,0.88
14.208,8.31,10.15,-0.11,-0.52,2.5,-0.03375,1.59
14.266,8.34,10.03,-0.11,-0.56,2.62,-0.03375,1.76
14.326,8.46,10.04,-0.13,-0.62,2.76,-0.0675,2.11
14.388,8.33,10,-0.18,-0.67,2.89,-0.03375,2.29
14.448,8.33,10,-0.22,-0.76,3.01,0,2.38
14.508,8.47,10.01,-0.27,-0.83,3.12,-0.03375,2.46
14.566,8.41,10,-0.29,-0.87,3.25,-0.10125,2.55
14.625,8.33,10.11,-0.29,-0.91,3.35,-0.10125,2.73
14.687,8.29,10.18,-0.29,-0.8,3.49,-0.03375,2.82
14.747,8.4,10.21,-0.29,-0.85,3.6,-0.03375,2.99
14.807,8.42,10.13,-0.29,-0.87,3.72,-0.03375,3.78
14.865,8.36,10.13,-0.29,-0.86,3.82,-0.10125,3.78
14.924,8.36,10.05,-0.32,-0.84,3.95,-0.03375,3.87
14.987,8.4,10.12,-0.32,-0.84,4.06,-0.03375,3.96
15.047,8.39,10.01,-0.33,-0.8,4.14,-0.03375,3.96
15.108,8.4,9.88,-0.34,-0.78,4.23,-0.03375,4.22
15.167,8.48,9.9,-0.34,-0.8,4.31,-0.03375,4.75
15.227,8.53,9.87,-0.34,-0.84,4.38,-0.10125,5.01
15.287,8.42,9.83,-0.34,-0.83,4.46,-0.03375,4.93
15.347,8.43,9.89,-0.34,-0.83,4.53,-0.03375,4.84
15.407,8.42,9.91,-0.34,-0.83,4.6,-0.03375,4.22
15.467,8.43,9.93,-0.32,-0.83,4.66,-0.10125,4.31
15.528,8.45,9.86,-0.31,-0.82,4.72,-0.0675,4.22
15.591,8.53,9.76,-0.28,-0.81,4.76,-0.0675,4.22
15.654,8.48,9.73,-0.25,-0.81,4.82,-0.10125,5.01
15.712,8.47,9.79,-0.2,-0.8,4.87,-0.03375,5.1
15.775,8.4,9.84,-0.16,-0.8,4.91,-0.10125,5.19
15.835,8.52,9.91,-0.12,-0.79,4.96,-0.03375,5.01
15.894,8.46,9.96,-0.08,-0.79,5,-0.03375,5.01
15.955,8.47,9.89,-0.03,-0.79,5.04,-0.03375,4.93
16.013,8.43,9.91,-0.03,-0.78,5.05,-0.0675,4.93
16.073,8.44,9.8,-0.03,-0.78,5.05,-0.135,5.01
16.134,8.47,9.79,-0.03,-0.78,5.05,-0.10125,5.01
16.194,8.38,9.83,-0.03,-0.78,5.05,-0.03375,5.01
16.254,8.4,9.82,-0.03,-0.78,5.05,-0.03375,4.93
16.313,8.37,9.79,-0.01,-0.77,5.05,-0.0675,5.01
16.374,8.43,9.84,0.01,-0.77,5.05,-0.0675,4.93
16.433,8.35,9.81,0.02,-0.77,5.05,-0.16875,4.84
