Time,Latitude,Longitude,Altitude,Roll,Pitch,Yaw,AirSpeed,AoA,AoS,V_N_g,V_E_g,V_D_g,GroundSpeed
31.347,35.2954425,136.25219085,4.36,0.04,-1.15,9.82,9.85,-0.59,5.53999999999996,2.87225729105053,7.60339713819771,0.273473108477666,8.13242261126453
32.334,35.29547085,136.2521,4.04,-0.09,-0.5,9.82,9.37,-0.680000000000003,5.80000000000001,3.58421422643619,9.34508419415529,0.388127853881279,10.0163782600198
33.264,35.29549915,136.2520075,3.605,-0.24,-0.17,9.82,9.54,0.379999999999999,5.00999999999999,3.18112632092341,8.75489852729065,0.536980749746706,9.33038912470569
34.308,35.2955258,136.2519125,3.175,-0.45,-0.65,9.82,9.81,-0.239999999999991,1.94,2.52839553625543,7.87701169914269,0.300820419325433,8.27832049517716
35.348,35.2955483,136.25181665,2.895,-0.09,-0.96,9.82,9.98,-1.2,0.96999999999997,2.3681109203223,9.38709607059079,0.24546424759872,9.68430558513619
36.284,35.2955658,136.25172165,2.7,-0.27,-1.02,9.83,9.83,-1.37999999999999,0.089999999999975,1.69469445333264,8.64200331325054,0.162932790224032,8.8081074953999
37.217,35.29557915,136.2516275,2.605,-0.42,-0.92,9.84,9.81,-1.54999999999999,-1.23000000000002,1.38682496470847,9.23191822699984,0.0320512820512823,9.33555702234375
38.259,35.29558915,136.25153335,2.445,-0.81,0.18,10.2,9.62,-0.939999999999994,-0.879999999999995,0.839427327022437,7.73604782731579,0.264357338195077,7.78594625117121
39.634,35.29559665,136.25144,1.92,-1.12,-0.21,10.18,9.72,-1.12,-0.170000000000016,0.451877314526859,5.16446168074156,0.462006079027355,5.20473891528577
41.004,35.29560335,136.2513458,1.51,-0.63,-0.56,10.18,9.49,-0.499999999999996,-1.40000000000003,0.64247034126344,7.46851566160136,0.0518582541054453,7.49627798347332
42.046,35.29560835,136.25125,1.395,-0.85,-0.89,10.18,9.66,0.29000000000001,-1.31999999999999,0.447035155602095,10.7284563525478,0.207570207570207,10.7397719496244
42.82,35.29560835,136.25115335,1.205,-0.92,-1,10.18,9.89,-1.2,-1.84000000000003,0.442176077448699,10.6228276085783,0.253623188405798,10.6350510486193
43.641,35.29560335,136.25105665,1.11,-0.86,-1.05,10.44,10.29,-1.90999999999999,-0.350000000000023,0.904304361277253,10.700366928804,-0.0243309002433089,10.738538577552
44.515,35.29559665,136.25096,1.19,-1.5,-1.69,11.15,9.89,-1.37999999999999,0.789999999999964,0.9076168285935,10.7284572364846,-0.17094017094017,10.7681374213309
45.393,35.2955883,136.250865,1.385,-1.39,-1.73,11.19,9.8,-1.54999999999999,0.620000000000005,1.1263553041486,8.62491316434935,-0.253807106598985,8.70185160819871
46.328,35.2955783,136.2507733,1.53,-1.29,-1.38,11.2,9.37,-0.59,0.529999999999973,1.18785864009124,8.76475482469533,-0.0428265524625269,8.84498555111626
